processed_words,model_name
exult,moonshotai/Kimi-K2-Instruct
trout,moonshotai/Kimi-K2-Instruct
DOWEL,moonshotai/Kimi-K2-Instruct
QUOTA,moonshotai/Kimi-K2-Instruct
THROW,moonshotai/Kimi-K2-Instruct
GULLY,moonshotai/Kimi-K2-Instruct
cliff,moonshotai/Kimi-K2-Instruct
STICK,moonshotai/Kimi-K2-Instruct
clump,moonshotai/Kimi-K2-Instruct
tonal,moonshotai/Kimi-K2-Instruct
PINKY,moonshotai/Kimi-K2-Instruct
heavy,moonshotai/Kimi-K2-Instruct
flare,moonshotai/Kimi-K2-Instruct
serum,moonshotai/Kimi-K2-Instruct
smirk,moonshotai/Kimi-K2-Instruct
OVOID,moonshotai/Kimi-K2-Instruct
MERIT,moonshotai/Kimi-K2-Instruct
spiel,moonshotai/Kimi-K2-Instruct
dance,moonshotai/Kimi-K2-Instruct
TODDY,moonshotai/Kimi-K2-Instruct
HASTE,moonshotai/Kimi-K2-Instruct
light,moonshotai/Kimi-K2-Instruct
singe,moonshotai/Kimi-K2-Instruct
ROUGH,moonshotai/Kimi-K2-Instruct
NUTTY,moonshotai/Kimi-K2-Instruct
corny,moonshotai/Kimi-K2-Instruct
motif,moonshotai/Kimi-K2-Instruct
APHID,moonshotai/Kimi-K2-Instruct
HOWDY,moonshotai/Kimi-K2-Instruct
moody,moonshotai/Kimi-K2-Instruct
REACT,moonshotai/Kimi-K2-Instruct
CABIN,moonshotai/Kimi-K2-Instruct
QUEER,moonshotai/Kimi-K2-Instruct
haunt,moonshotai/Kimi-K2-Instruct
seize,moonshotai/Kimi-K2-Instruct
WREST,moonshotai/Kimi-K2-Instruct
HAVOC,moonshotai/Kimi-K2-Instruct
BREAK,moonshotai/Kimi-K2-Instruct
twist,moonshotai/Kimi-K2-Instruct
putty,moonshotai/Kimi-K2-Instruct
gloom,moonshotai/Kimi-K2-Instruct
POPPY,moonshotai/Kimi-K2-Instruct
LEGAL,moonshotai/Kimi-K2-Instruct
ARDOR,moonshotai/Kimi-K2-Instruct
SHARD,moonshotai/Kimi-K2-Instruct
civil,moonshotai/Kimi-K2-Instruct
truer,moonshotai/Kimi-K2-Instruct
TRIBE,moonshotai/Kimi-K2-Instruct
RABID,moonshotai/Kimi-K2-Instruct
STONY,moonshotai/Kimi-K2-Instruct
crony,moonshotai/Kimi-K2-Instruct
SNIPE,moonshotai/Kimi-K2-Instruct
SOAPY,moonshotai/Kimi-K2-Instruct
LUNGE,moonshotai/Kimi-K2-Instruct
count,moonshotai/Kimi-K2-Instruct
equip,moonshotai/Kimi-K2-Instruct
YIELD,moonshotai/Kimi-K2-Instruct
brink,moonshotai/Kimi-K2-Instruct
scrub,moonshotai/Kimi-K2-Instruct
ULCER,moonshotai/Kimi-K2-Instruct
NANNY,moonshotai/Kimi-K2-Instruct
lithe,moonshotai/Kimi-K2-Instruct
uncut,moonshotai/Kimi-K2-Instruct
ASCOT,moonshotai/Kimi-K2-Instruct
SAUNA,moonshotai/Kimi-K2-Instruct
BLOCK,moonshotai/Kimi-K2-Instruct
brown,moonshotai/Kimi-K2-Instruct
FLAKY,moonshotai/Kimi-K2-Instruct
novel,moonshotai/Kimi-K2-Instruct
PLANE,moonshotai/Kimi-K2-Instruct
optic,moonshotai/Kimi-K2-Instruct
cigar,moonshotai/Kimi-K2-Instruct
VAUNT,moonshotai/Kimi-K2-Instruct
PLAIT,moonshotai/Kimi-K2-Instruct
CLAIM,moonshotai/Kimi-K2-Instruct
sooth,moonshotai/Kimi-K2-Instruct
freed,moonshotai/Kimi-K2-Instruct
ENDOW,moonshotai/Kimi-K2-Instruct
FLUSH,moonshotai/Kimi-K2-Instruct
SPOON,moonshotai/Kimi-K2-Instruct
broke,moonshotai/Kimi-K2-Instruct
PAYER,moonshotai/Kimi-K2-Instruct
GRACE,moonshotai/Kimi-K2-Instruct
ENVOY,moonshotai/Kimi-K2-Instruct
MAXIM,moonshotai/Kimi-K2-Instruct
boast,moonshotai/Kimi-K2-Instruct
atone,moonshotai/Kimi-K2-Instruct
scare,moonshotai/Kimi-K2-Instruct
CAPUT,moonshotai/Kimi-K2-Instruct
upset,moonshotai/Kimi-K2-Instruct
onion,moonshotai/Kimi-K2-Instruct
TIMER,moonshotai/Kimi-K2-Instruct
BATHE,moonshotai/Kimi-K2-Instruct
quest,moonshotai/Kimi-K2-Instruct
creed,moonshotai/Kimi-K2-Instruct
BUYER,moonshotai/Kimi-K2-Instruct
easel,moonshotai/Kimi-K2-Instruct
under,moonshotai/Kimi-K2-Instruct
TRAIT,moonshotai/Kimi-K2-Instruct
FUNKY,moonshotai/Kimi-K2-Instruct
flail,moonshotai/Kimi-K2-Instruct
barge,moonshotai/Kimi-K2-Instruct
WOMEN,moonshotai/Kimi-K2-Instruct
SCARY,moonshotai/Kimi-K2-Instruct
foyer,moonshotai/Kimi-K2-Instruct
stash,moonshotai/Kimi-K2-Instruct
quirk,moonshotai/Kimi-K2-Instruct
LABEL,moonshotai/Kimi-K2-Instruct
refit,moonshotai/Kimi-K2-Instruct
BRUSH,moonshotai/Kimi-K2-Instruct
SQUAT,moonshotai/Kimi-K2-Instruct
scour,moonshotai/Kimi-K2-Instruct
moose,moonshotai/Kimi-K2-Instruct
caper,moonshotai/Kimi-K2-Instruct
slate,moonshotai/Kimi-K2-Instruct
elope,moonshotai/Kimi-K2-Instruct
VISTA,moonshotai/Kimi-K2-Instruct
pixel,moonshotai/Kimi-K2-Instruct
STRAP,moonshotai/Kimi-K2-Instruct
sally,moonshotai/Kimi-K2-Instruct
leaky,moonshotai/Kimi-K2-Instruct
CARAT,moonshotai/Kimi-K2-Instruct
welsh,moonshotai/Kimi-K2-Instruct
dozen,moonshotai/Kimi-K2-Instruct
SLEPT,moonshotai/Kimi-K2-Instruct
GNASH,moonshotai/Kimi-K2-Instruct
GLAZE,moonshotai/Kimi-K2-Instruct
heath,moonshotai/Kimi-K2-Instruct
URBAN,moonshotai/Kimi-K2-Instruct
forum,moonshotai/Kimi-K2-Instruct
marry,moonshotai/Kimi-K2-Instruct
MONTH,moonshotai/Kimi-K2-Instruct
azure,moonshotai/Kimi-K2-Instruct
knack,moonshotai/Kimi-K2-Instruct
SNACK,moonshotai/Kimi-K2-Instruct
CONDO,moonshotai/Kimi-K2-Instruct
mayor,moonshotai/Kimi-K2-Instruct
KRILL,moonshotai/Kimi-K2-Instruct
STOCK,moonshotai/Kimi-K2-Instruct
shirk,moonshotai/Kimi-K2-Instruct
crane,moonshotai/Kimi-K2-Instruct
COMIC,moonshotai/Kimi-K2-Instruct
zesty,moonshotai/Kimi-K2-Instruct
BUGLE,moonshotai/Kimi-K2-Instruct
ALOUD,moonshotai/Kimi-K2-Instruct
fight,moonshotai/Kimi-K2-Instruct
FLOOR,moonshotai/Kimi-K2-Instruct
circa,moonshotai/Kimi-K2-Instruct
vocal,moonshotai/Kimi-K2-Instruct
tonga,moonshotai/Kimi-K2-Instruct
tooth,moonshotai/Kimi-K2-Instruct
charm,moonshotai/Kimi-K2-Instruct
junto,moonshotai/Kimi-K2-Instruct
dusty,moonshotai/Kimi-K2-Instruct
VERSO,moonshotai/Kimi-K2-Instruct
adore,moonshotai/Kimi-K2-Instruct
SCOLD,moonshotai/Kimi-K2-Instruct
clown,moonshotai/Kimi-K2-Instruct
FIRST,moonshotai/Kimi-K2-Instruct
short,moonshotai/Kimi-K2-Instruct
TENSE,moonshotai/Kimi-K2-Instruct
TEETH,moonshotai/Kimi-K2-Instruct
dream,moonshotai/Kimi-K2-Instruct
SMACK,moonshotai/Kimi-K2-Instruct
FEAST,moonshotai/Kimi-K2-Instruct
wooer,moonshotai/Kimi-K2-Instruct
clang,moonshotai/Kimi-K2-Instruct
privy,moonshotai/Kimi-K2-Instruct
vowel,moonshotai/Kimi-K2-Instruct
READY,moonshotai/Kimi-K2-Instruct
frank,moonshotai/Kimi-K2-Instruct
child,moonshotai/Kimi-K2-Instruct
taunt,moonshotai/Kimi-K2-Instruct
PSALM,moonshotai/Kimi-K2-Instruct
COACH,moonshotai/Kimi-K2-Instruct
LOUSY,moonshotai/Kimi-K2-Instruct
WHINE,moonshotai/Kimi-K2-Instruct
ROYAL,moonshotai/Kimi-K2-Instruct
VITAL,moonshotai/Kimi-K2-Instruct
FLOWN,moonshotai/Kimi-K2-Instruct
STIFF,moonshotai/Kimi-K2-Instruct
iliac,moonshotai/Kimi-K2-Instruct
flood,moonshotai/Kimi-K2-Instruct
slosh,moonshotai/Kimi-K2-Instruct
VISIT,moonshotai/Kimi-K2-Instruct
SNORT,moonshotai/Kimi-K2-Instruct
brick,moonshotai/Kimi-K2-Instruct
edify,moonshotai/Kimi-K2-Instruct
urine,moonshotai/Kimi-K2-Instruct
OFFER,moonshotai/Kimi-K2-Instruct
TITLE,moonshotai/Kimi-K2-Instruct
dairy,moonshotai/Kimi-K2-Instruct
