processed_words,model_name
AGATE,moonshotai/Kimi-K2-Instruct
APTLY,moonshotai/Kimi-K2-Instruct
hymen,moonshotai/Kimi-K2-Instruct
riser,moonshotai/Kimi-K2-Instruct
TRIPE,moonshotai/Kimi-K2-Instruct
natal,moonshotai/Kimi-K2-Instruct
PARKA,moonshotai/Kimi-K2-Instruct
TATTY,moonshotai/Kimi-K2-Instruct
STEER,moonshotai/Kimi-K2-Instruct
GLOSS,moonshotai/Kimi-K2-Instruct
dutch,moonshotai/Kimi-K2-Instruct
parka,moonshotai/Kimi-K2-Instruct
SPINE,moonshotai/Kimi-K2-Instruct
CURSE,moonshotai/Kimi-K2-Instruct
alloy,moonshotai/Kimi-K2-Instruct
FALSE,moonshotai/Kimi-K2-Instruct
CURSE,moonshotai/Kimi-K2-Instruct
march,moonshotai/Kimi-K2-Instruct
gloss,moonshotai/Kimi-K2-Instruct
RISER,moonshotai/Kimi-K2-Instruct
SPAWN,moonshotai/Kimi-K2-Instruct
annex,moonshotai/Kimi-K2-Instruct
lobby,moonshotai/Kimi-K2-Instruct
crick,moonshotai/Kimi-K2-Instruct
shush,moonshotai/Kimi-K2-Instruct
voila,moonshotai/Kimi-K2-Instruct
ALLOY,moonshotai/Kimi-K2-Instruct
SLING,moonshotai/Kimi-K2-Instruct
NAVAL,moonshotai/Kimi-K2-Instruct
